CNTYVTD,trump,clinton,color
410070,200,123,#faa
410072,17,10,#faa
410074,0,0,#ddd
410077,131,73,#faa
410078,99,16,#f66
410079,17,14,#faa
410080,1322,328,#f66
410081,28,17,#faa
410082,140,41,#f66
410083,2,0,#f66
430001,697,372,#faa
430002,354,336,#faa
430003,111,119,#aaf
430004,457,417,#faa
430005,29,38,#aaf
430006,158,158,#ddd
430007,27,44,#aaf
430008,143,281,#aaf
450001,69,20,#f66
450002,149,28,#f66
450003,149,27,#f66
450004,178,32,#f66
450006,33,10,#f66
470001,40,144,#66f
470002,40,357,#66f
470003,107,386,#66f
470004,48,99,#66f
470005,23,42,#aaf
470006,69,366,#66f
470007,31,59,#aaf
470008,97,251,#66f
470009,52,182,#66f
490101,1350,205,#f66
490105,895,148,#f66
490109,197,11,#f66
490113,1003,157,#f66
490202,473,124,#f66
490204,515,165,#f66
490212,655,76,#f66
490214,364,82,#f66
490215,174,13,#f66
490303,621,144,#f66
490306,1035,151,#f66
490307,377,59,#f66
490308,293,32,#f66
490316,176,14,#f66
490318,908,92,#f66
490410,1290,151,#f66
490411,524,137,#f66
490417,1045,143,#f66
510113,341,93,#f66
510114,622,273,#f66
510203,199,44,#f66
510204,299,62,#f66
510207,148,110,#faa
510211,424,101,#f66
510215,171,45,#f66
510301,615,189,#f66
510305,223,67,#f66
510308,182,65,#f66
510309,348,99,#f66
510406,329,262,#faa
510410,738,257,#f66
510412,32,38,#aaf
530001,599,113,#f66
530002,1090,404,#f66
530003,439,160,#f66
530004,866,321,#f66
530005,455,137,#f66
530006,232,66,#f66
530007,318,110,#f66
530008,520,121,#f66
530009,1315,324,#f66
530010,499,157,#f66
530011,179,20,#f66
530012,590,195,#f66
530013,372,119,#f66
530014,240,35,#f66
530015,289,79,#f66
530016,257,55,#f66
530017,809,145,#f66
530018,514,165,#f66
530019,1802,464,#f66
530020,1458,484,#f66
550100,102,121,#aaf
550101,188,197,#aaf
550102,293,106,#f66
550103,638,442,#faa
550104,173,71,#f66
550105,21,29,#aaf
550107,0,0,#ddd
550108,27,21,#faa
550109,18,5,#f66
550110,35,34,#faa
550111,279,213,#faa
550112,0,0,#ddd
550113,0,0,#ddd
550114,0,0,#ddd
550115,0,0,#ddd
550116,0,0,#ddd
550117,0,0,#ddd
550118,34,35,#aaf
550201,345,200,#faa
550202,396,213,#faa
550203,390,172,#f66
550204,489,202,#f66
550205,139,43,#f66
550206,287,191,#faa
550301,321,427,#aaf
