CNTYVTD,Trump,Clinton,winner,population,registered,turnout,percentSpanishSurname
250003,465,306,Trump,10764,1731,813,50.7
250004,151,54,Trump,489,336,209,30.4
250005,146,63,Trump,609,403,220,47.4
250006,433,203,Trump,1724,1254,651,49.8
250008,105,37,Trump,320,252,145,31.7
250009,117,312,Clinton,1141,823,447,87.4
250010,235,519,Clinton,2980,1728,784,78.1
250011,106,50,Trump,373,272,159,64.7
250012,134,52,Trump,395,291,192,38.1
250013,450,310,Trump,2135,1455,792,53.8
250014,84,54,Trump,417,249,139,52.2
250016,334,204,Trump,1754,998,556,51.8
250017,312,332,Clinton,1736,1204,664,65.1
250018,711,248,Trump,2547,1620,993,36.4
250019,88,211,Clinton,1030,661,311,79.4
270101,2837,835,Trump,9017,6212,3982,8
